target_id,name,country_resident,red,green,blue
550,navy,us,12,30,40
744,pale orange,gb,225,160,128
969,yellow,gb,255,228,80
1089,pink,us,255,83,147
1009,grey,au,221,124,21
548,black,us,16,31,26
790,blue,us,0,49,103
975,neon green,us,152,253,137
661,light blue,us,183,211,159
874,green,us,166,217,117
821,aubergine,gb,135,76,125
1138,pink,us,0,0,0
553,brown,au,43,22,33
656,light pink,au,238,192,169
903,red,us,137,33,16
1043,red,us,219,68,53
934,pink,us,191,88,121
675,dark purple,us,63,1,27
1124,pink,gb,222,0,197
704,blue,us,62,68,115
726,teal,us,42,137,122
788,dark red,us,98,18,18
571,grey,gb,119,122,136
972,yellow,gb,227,239,79
1105,hot pink,us,229,28,142
632,purple,us,121,86,107
940,orange,gb,249,150,94
1106,pink,us,234,17,124
798,purple,us,90,19,65
890,pastel pink,gb,222,188,249
841,green,us,93,165,88
838,lime,nz,145,156,37
620,olive green,gb,95,101,51
1039,pink,us,133,0,124
563,brown,us,89,66,72
1104,pink,us,217,44,165
871,yellow,gb,212,206,86
818,light purple,us,111,85,143
986,deep purple,us,90,0,97
811,green,gb,34,111,41
866,orange,us,255,188,113
690,brown,us,109,59,24
906,purple,us,78,58,135
534,black,us,28,28,28
954,turquoise,gb,0,199,152
809,kelly green,us,79,106,0
761,cyan,us,114,185,211
1132,purple,au,127,0,255
710,purple,gb,114,51,74
1098,blue,us,77,109,247
666,teal,gb,153,212,218
547,green,us,22,31,20
1138,hot pink,us,0,0,0
824,dark pink,gb,152,69,97
1043,red,gb,219,68,53
617,brown,us,125,89,58
815,ocean blue,gb,55,98,152
839,lime green,gb,132,159,50
957,blue,gb,54,187,244
551,black,nz,26,27,43
802,red,us,157,69,70
1105,pink,us,229,28,142
751,green,us,164,184,104
568,sage,gb,104,128,118
767,pink,gb,200,163,200
1012,green,us,47,171,52
958,blue,us,94,182,248
1109,electric blue,gb,60,75,229
1078,salmon,us,255,81,111
618,brown,gb,116,94,51
645,teal,us,98,159,158
1089,pink,us,255,83,147
788,maroon,us,98,18,18
713,orange,us,171,105,95
859,lilac,gb,170,135,191
923,green,au,42,141,47
808,burnt orange,us,133,87,0
693,brown,us,89,70,0
781,cyan,us,139,248,231
1049,purple,us,162,93,193
580,steel blue,gb,159,178,185
833,ochre,gb,191,139,54
