target_id,name,country_resident,red,green,blue
857,lavender,GB,148,142,200
827,pink,US,211,124,120
653,pink,GB,178,138,147
632,mauve,AU,121,86,107
612,purple,US,70,39,60
1102,purple,US,192,68,198
1046,blue,US,90,115,218
715,burnt orange,US,166,110,70
625,teal,US,46,106,107
716,brown,US,162,112,62
659,beige,US,212,203,145
571,gray,US,119,122,136
927,purple,US,124,112,186
879,teal,US,93,223,189
691,brown,US,105,62,17
621,olive,AU,79,104,64
533,black,US,0,0,0
693,olive,US,89,70,0
705,purple,GB,84,62,109
699,green,GB,0,84,57
560,black,US,55,75,85
888,blue,GB,199,194,255
577,grey,US,165,180,154
670,lilac,US,206,197,225
575,beige,GB,191,172,154
1093,purple,GB,112,7,165
583,off white,US,188,171,174
667,pale blue,US,163,209,225
1083,purple,US,178,120,244
984,purple,GB,75,18,108
572,purple,GB,130,119,131
722,olive green,US,96,133,69
733,blue,US,97,124,164
1127,purple,US,149,3,220
1123,magenta,US,207,33,215
988,red,GB,176,45,86
666,light blue,GB,153,212,218
750,green,US,173,181,97
638,tan,US,169,146,100
901,red,US,140,24,42
854,sky blue,US,94,154,203
823,blush pink,US,148,70,106
862,pink,US,195,128,166
987,plum,US,95,0,91
697,forest green,AU,45,81,26
880,cyan,US,86,223,197
906,blue,US,78,58,135
1138,magenta,US,0,0,0
816,purple,US,82,93,151
602,green,US,21,56,38
1060,pink,US,255,131,206
953,green,AU,28,199,142
694,moss,GB,83,72,0
602,dark green,NZ,21,56,38
1111,purple,US,139,44,204
852,light blue,US,47,160,198
1008,orange,GB,229,118,46
694,brown,US,83,72,0
1124,fuchsia,US,222,0,197
931,purple,US,171,96,156
941,orange,US,242,154,79
1114,magenta,US,207,100,254
897,dark purple,GB,50,0,73
690,brown,GB,109,59,24
969,yellow,US,255,228,80
937,peach,US,255,143,137
809,moss green,GB,79,106,0
1073,magenta,US,167,36,151
619,olive,GB,106,97,47
789,maroon,US,96,23,0
940,peach,GB,249,150,94
1089,hot pink,GB,255,83,147
785,burgundy,US,97,14,46
845,turquoise,US,15,168,139
754,mint,US,113,191,153
668,sky blue,US,179,205,228
990,red,GB,178,47,57
984,purple,US,75,18,108
611,eggplant,US,64,40,67
1073,purple,US,167,36,151
891,lavender,US,238,184,237
1009,orange,US,221,124,21
940,orange,GB,249,150,94
992,maroon,GB,174,56,17
1042,red,US,220,65,74
554,brown,GB,91,66,63
911,magenta,US,125,33,99
1092,purple,US,91,32,175
712,reddish brown,AU,171,104,101
935,pink,US,251,143,159
1066,red,GB,199,0,45
1044,red,GB,214,76,18
666,turquoise,GB,153,212,218
756,turquoise,US,100,191,172
908,purple,GB,103,48,123
621,green,US,79,104,64
753,green,US,122,190,143
698,green,US,7,83,50
982,blue,US,36,36,122
764,blue,GB,163,173,216
923,dark green,US,42,141,47
1098,blue,GB,77,109,247
1066,red,GB,199,0,45
1028,green,GB,146,223,64
1052,pink,US,199,74,156
910,purple,US,118,39,110
539,grey,US,148,149,148
924,blue,US,29,128,191
625,sea green,US,46,106,107
831,peach,AU,204,132,75
734,plava,US,111,120,164
1085,magenta,US,213,107,217
693,brown,US,89,70,0
1043,red,US,219,68,53
916,red,NZ,197,88,87
677,burgundy,US,64,4,3
839,green,GB,132,159,50
754,aqua,AU,113,191,153
930,purple,US,162,100,165
700,green,US,0,84,63
1056,lime green,GB,52,202,56
1082,purple,US,149,129,255
1108,blue,US,47,0,160
1012,green,US,47,171,52
748,mustard,US,196,174,94
872,green,US,200,210,92
888,periwinkle,US,199,194,255
999,purple,US,152,60,138
945,yellow,US,205,173,17
803,light brown,US,157,70,61
791,navy,US,37,43,100
994,blue,GB,72,90,177
888,lilac,US,199,194,255
870,yellow,US,219,204,86
1010,orange,US,211,130,0
739,mauve,US,163,105,127
1011,lime green,US,90,168,0
1006,orange,US,238,109,88
546,black,GB,33,28,8
912,purple,US,131,29,88
698,green,US,7,83,50
733,blue,GB,97,124,164
793,dark purple,GB,66,34,91
1053,pink,AU,209,68,136
885,light blue,US,81,218,249
673,light pink,GB,231,192,199
730,cyan,US,45,133,155
1107,pink,US,252,124,255
813,blue,US,0,104,149
584,tan,US,244,225,221
613,wine,US,74,37,54
932,purple,GB,179,93,146
1081,orange,US,255,97,20
865,orange,GB,255,185,122
543,cream,GB,255,255,255
1136,yellow,GB,0,0,0
552,black,GB,37,23,40
1072,purple,US,157,45,164
851,blue,US,0,163,193
715,brown,US,166,110,70
586,white,US,235,230,196
1036,,GB,103,38,147
1050,violet,US,177,86,182
1078,pink,AU,255,81,111
1070,purple,US,129,63,183
1103,magenta,US,205,57,183
816,indigo,GB,82,93,151
1112,purple,US,155,27,193
743,salmon,US,226,158,146
837,ochre,GB,157,153,30
1026,yellow,US,236,200,0
544,black,US,45,21,25
843,green,US,50,168,123
970,yellow,US,250,232,76
815,blue,US,55,98,152
853,sky blue,US,71,157,201
541,grey,GB,202,202,201
712,pink,US,171,104,101
820,mor,GB,128,79,132
763,light blue,US,149,177,216
550,navy,US,12,30,40
744,pale orange,GB,225,160,128
969,yellow,GB,255,228,80
1089,pink,US,255,83,147
1009,grey,AU,221,124,21
548,black,US,16,31,26
790,blue,US,0,49,103
975,neon green,US,152,253,137
661,light blue,US,183,211,159
874,green,US,166,217,117
821,aubergine,GB,135,76,125
1138,pink,US,0,0,0
553,brown,AU,43,22,33
656,light pink,AU,238,192,169
903,red,US,137,33,16
1043,red,US,219,68,53
934,pink,US,191,88,121
675,dark purple,US,63,1,27
1124,pink,GB,222,0,197
704,blue,US,62,68,115
726,teal,US,42,137,122
788,dark red,US,98,18,18
571,grey,GB,119,122,136
972,yellow,GB,227,239,79
1105,hot pink,US,229,28,142
632,purple,US,121,86,107
940,orange,GB,249,150,94
1106,pink,US,234,17,124
798,purple,US,90,19,65
890,pastel pink,GB,222,188,249
841,green,US,93,165,88
838,lime,NZ,145,156,37
620,olive green,GB,95,101,51
1039,pink,US,133,0,124
563,brown,US,89,66,72
1104,pink,US,217,44,165
871,yellow,GB,212,206,86
818,light purple,US,111,85,143
986,deep purple,US,90,0,97
811,green,GB,34,111,41
866,orange,US,255,188,113
690,brown,US,109,59,24
906,purple,US,78,58,135
534,black,US,28,28,28
954,turquoise,GB,0,199,152
809,kelly green,US,79,106,0
761,cyan,US,114,185,211
1132,purple,AU,127,0,255
710,purple,GB,114,51,74
1098,blue,US,77,109,247
666,teal,GB,153,212,218
547,green,US,22,31,20
1138,hot pink,US,0,0,0
824,dark pink,GB,152,69,97
1043,red,GB,219,68,53
617,brown,US,125,89,58
815,ocean blue,GB,55,98,152
839,lime green,GB,132,159,50
957,blue,GB,54,187,244
551,black,NZ,26,27,43
802,red,US,157,69,70
1105,pink,US,229,28,142
751,green,US,164,184,104
568,sage,GB,104,128,118
